User_id,Coupon_id,Date_received,Probability
4129537,9983,20160712,0.019612888
6949378,3429,20160706,0.028010279
2166529,6928,20160727,0.015246445
2166529,1808,20160727,0.029604265
6172162,6500,20160708,0.06026174
4005121,9983,20160706,0.042649858
4347394,9983,20160716,0.01744581
3094273,13602,20160727,0.013727626
5139970,9983,20160729,0.0054607196
3237121,13602,20160703,0.018482475
6224386,9983,20160716,0.007814662
6488578,13602,20160712,0.27804002
4164865,9983,20160703,0.011508567
4164865,8059,20160706,0.016907122
5468674,9983,20160713,0.024320547
6258178,9144,20160706,0.03256875
3659521,7341,20160727,0.04015357
3659521,13181,20160717,0.050504416
3659521,13602,20160718,0.051333714
7333378,13602,20160704,0.04099372
7333378,785,20160727,0.020722372
4454914,2978,20160711,0.023313163
6817282,8375,20160724,0.018036796
3149569,10418,20160721,0.011829011
6301186,1715,20160718,0.0454285
6301186,4203,20160708,0.009450559
2891521,13602,20160724,0.03305542
3422977,13602,20160727,0.108764574
4771330,13602,20160726,0.004933697
4513282,11799,20160712,0.0058444086
3439873,13602,20160713,0.05865929
6632962,13602,20160727,0.099411346
6632962,10438,20160705,0.008651549
6912514,9934,20160724,0.08473156
2821891,10418,20160702,0.014314212
3872515,10418,20160704,0.016194375
3872515,2978,20160704,0.02832025
2699011,13602,20160705,0.28357285
5406214,3903,20160722,0.024386402
5406214,2440,20160722,0.025207339
3359491,10418,20160725,0.0070165745
4147459,5743,20160715,0.054951318
5427718,4912,20160704,0.14723684
5427718,662,20160704,0.19300565
5427718,1528,20160704,0.16566004
2848003,13602,20160702,0.013422961
2726659,10842,20160724,0.039492294
3649795,2978,20160723,0.021638973
3649795,10418,20160701,0.014649421
2612995,9983,20160703,0.006425935
3808003,9983,20160721,0.005874657
3812611,3992,20160721,0.016679956
3425539,3992,20160719,0.023994248
6853126,13181,20160721,0.05608661
4251142,10609,20160707,0.0631175
3442435,13602,20160713,0.040727094
3182851,11986,20160731,0.04485973
7175686,7774,20160706,0.12768772
7175686,9983,20160717,0.025617082
3199747,8059,20160712,0.011845226
3199747,3429,20160718,0.00828481
6140422,6480,20160728,0.1402868
4001029,13602,20160704,0.028723316
3873541,2978,20160718,0.024385836
4603402,5482,20160723,0.037207514
6443530,13602,20160722,0.037167
3627781,10418,20160713,0.011431776
4913674,8059,20160712,0.014562187
3506437,13602,20160719,0.04935024
2196229,6614,20160717,0.035948463
2329861,13849,20160724,0.12315102
3514117,9967,20160706,0.0075710113
5733898,13183,20160705,0.10661314
2480389,2978,20160703,0.18343228
3928837,1904,20160722,0.021092456
3017989,13602,20160730,0.009663378
3017989,9983,20160704,0.024284152
5776906,13602,20160706,0.04426883
6332938,13602,20160724,0.03305066
5568010,8596,20160722,0.09919416
5568010,8596,20160722,0.09919416
2398981,13602,20160722,0.01972981
3208453,10418,20160713,0.006666171
7205386,13602,20160729,0.025670528
4866574,13602,20160723,0.16026984
4866574,9983,20160725,0.013582482
5394958,2601,20160712,0.010947211
6445582,13602,20160713,0.043013252
3748615,13602,20160709,0.027080933
3748615,11184,20160703,0.05027268
5941774,9983,20160711,0.008714053
2842375,3429,20160725,0.019044828
2324743,10418,20160701,0.009474748
6491662,4654,20160717,0.10579786
3644167,11463,20160710,0.020881847
3644167,11463,20160706,0.051333476
3644167,11463,20160708,0.025523178
3644167,11463,20160711,0.0182656
3644167,11463,20160713,0.018880526
2862343,3004,20160712,0.11703304
2862343,2070,20160721,0.03160797
2862343,7821,20160721,0.0531127
2862343,14,20160731,0.09270723
4676110,9983,20160727,0.006259975
3135751,3992,20160724,0.009168683
4054279,9983,20160729,0.016702479
4192519,13602,20160723,0.009601786
2363143,3780,20160703,0.09274145
2363143,13161,20160703,0.17622393
2363143,2978,20160724,0.0259964
2363143,10438,20160729,0.01869548
3025159,9983,20160703,0.024725683
3025159,10438,20160701,0.008863271
3025159,13602,20160725,0.024824724
6574606,8059,20160729,0.016211076
2771719,13602,20160728,0.014056217
2513671,9983,20160723,0.018926518
7136782,13602,20160714,0.01057914
3568903,8596,20160722,0.03643908
5047822,13602,20160722,0.04118424
3704071,10110,20160716,0.08705129
3704071,10110,20160707,0.32657087
3183367,4132,20160723,0.024265014
4276750,13602,20160726,0.08689541
6402574,9983,20160704,0.024293384
6402574,10418,20160706,0.014007748
6408718,13602,20160724,0.014258458
4587022,8059,20160717,0.04813485
4587022,9983,20160717,0.033654004
3212041,13602,20160715,0.038178273
5903890,13602,20160724,0.10208105
4598290,1904,20160709,0.02435093
3093769,8306,20160728,0.07216137
3093769,8059,20160728,0.023084085
3093769,9983,20160716,0.031299032
3093769,8306,20160728,0.07216137
4370962,8059,20160722,0.015278494
6208018,2920,20160729,0.11881585
2189065,2096,20160715,0.036204953
4029193,13602,20160703,0.04224594
3119881,493,20160721,0.06442641
3910921,9983,20160712,0.008260962
3910921,13602,20160711,0.050106302
6773266,2096,20160717,0.04621113
4948498,2978,20160725,0.022837907
2347273,13602,20160725,0.115212865
4190473,10284,20160720,0.08209064
3536137,13602,20160728,0.046651866
2358025,13602,20160703,0.0045872224
3930889,10438,20160729,0.011197332
3930889,13602,20160704,0.0094456365
3930889,2893,20160724,0.3454309
3930889,2893,20160726,0.04512315
4066057,5702,20160716,0.37142834
4066057,13602,20160724,0.030083336
4066057,5702,20160723,0.06884455
4066057,5702,20160709,0.5937391
4070665,10418,20160715,0.009412812
3024649,3992,20160709,0.016629398
6862354,13602,20160731,0.11174224
6078994,10438,20160716,0.00666142
3310345,10438,20160731,0.018037425
6112786,13602,20160714,0.020001931
2930953,2978,20160724,0.021311412
6939154,10418,20160727,0.010381983
6939154,2978,20160727,0.023342445
3208969,3985,20160724,0.15577334
3208969,11876,20160724,0.098217994
2296075,13602,20160728,0.0039206925
2173195,2601,20160703,0.005918024
5948950,10418,20160720,0.012118497
